"Date","Price","Open","High","Low","Vol.","Change %"
"02-08-2023","52,368.70","52,491.70","52,538.85","52,103.25","23.31M","-0.25%"
"01-08-2023","52,501.15","52,759.25","52,836.10","52,454.15","18.82M","-0.26%"
"31-07-2023","52,636.85","52,953.15","53,021.50","52,517.05","23.04M","-0.62%"
"28-07-2023","52,964.05","52,669.95","53,035.00","52,500.80","29.42M","0.88%"
"27-07-2023","52,499.90","52,934.35","53,067.55","52,270.95","35.66M","-0.69%"
"26-07-2023","52,865.30","52,533.15","52,972.65","52,381.60","29.73M","1.05%"
"25-07-2023","52,315.95","52,761.50","52,761.50","52,002.75","53.77M","-0.86%"
"24-07-2023","52,771.70","53,843.95","53,882.25","52,615.40","55.56M","-1.72%"
"21-07-2023","53,697.45","54,015.55","54,349.85","53,511.00","38.92M","-1.00%"
"20-07-2023","54,239.70","53,561.55","54,289.95","53,309.80","30.77M","1.35%"
"19-07-2023","53,517.30","53,366.45","53,607.25","53,078.55","21.49M","0.33%"
"18-07-2023","53,340.65","53,558.45","53,633.20","53,245.90","14.50M","-0.24%"
"17-07-2023","53,471.60","53,536.35","53,799.65","53,351.60","16.56M","0.03%"
"14-07-2023","53,453.70","53,151.30","53,558.95","53,094.45","16.26M","0.80%"
"13-07-2023","53,029.95","53,453.40","53,567.65","52,946.40","17.70M","-0.47%"
"12-07-2023","53,279.50","53,511.55","53,513.40","52,944.50","24.31M","0.18%"
"11-07-2023","53,184.40","52,609.50","53,372.00","52,544.40","20.13M","1.23%"
"10-07-2023","52,536.15","53,071.35","53,148.60","52,484.50","17.04M","-0.77%"
"07-07-2023","52,942.45","53,758.60","53,820.80","52,847.85","21.26M","-1.53%"
"06-07-2023","53,765.65","53,969.45","53,971.25","53,557.65","24.73M","-0.02%"
"05-07-2023","53,776.20","52,845.45","53,846.90","52,720.10","34.07M","1.82%"
"04-07-2023","52,814.80","52,870.15","52,882.40","52,390.55","20.33M","0.14%"
"03-07-2023","52,741.50","52,299.00","52,857.90","52,061.10","21.37M","1.05%"
